mmorelli,1
kathyylchan,15
21400618@N06,2
minusmanhattan,1
lostncheeseland,4
francescabondy,2
clumsybird,4
31134010@N02,3
minusbaby,6
kriebel,2
sha8088,3
27655120@N06,3
kirby,1
50769820@N06,1
sharynmorrow,7
iraform,1
ulteriorepicure,12
decor8,7
chee,1
ari,1
_shazza_,2
31418704@N02,3
sargent_works,11
koluthcka,2
ira,1
missyjane20,5
nothingkin,1
bl,1
audreykb,1
zagatbuzz,8
shawnana,1
boy,1
elsiecake,8
k,1
elisabelleb,4
iamchanelle,3
ranm,1
vallen,1
alaric66,11
chris6sigma,8
lyndsayjobe,2
gothamistllc,1
40389150@N06,4
lauraheathercarol,1
wfiupublicradio,3
11587277@N03,1
sarahmcneil,8
vesleserena,2
bango707,3
anjali1999,1
gloriousevents,1
wvallen,7
jennabraunstein,1
nypl,3
ste,1
roboppy,15
15,1
jmoranmoya,8
gumisforlovers,5
42943062@N04,1
seriouseats,7
smithology83,4
pony_tail,5
erio,1
lomokev,8
heather,4
shaw,1
herroyalmajesty,3
bossacafez,7
67092284@N08,1
j0annie,69
noraleah,2
serena,2
smitten,9
lucysunnyvale,1
vanillasplash,3
siharath,1
food2,13
fashionfades,4
28757974@N00,17
las,1
35366972@N03,1
figandplum,3
posterboynyc,3
aemays,1
elsie,1
Average Degree: 4
